Winner,win_by,last_round,last_round_time,date_time,R_fighter,B_fighter,R_current_lose_streak,B_current_lose_streak,R_current_win_streak,B_current_win_streak,R_wins,B_wins,R_age,B_age,R_total_title_bouts,B_total_title_bouts,R_win_by_KO/TKO,B_win_by_KO/TKO,R_KD,B_KD,R_SIG_STR._landed,R_SIG_STR._attempted,B_SIG_STR._landed,B_SIG_STR._attempted,R_TOTAL_STR._landed,R_TOTAL_STR._attempted,B_TOTAL_STR._landed,B_TOTAL_STR._attempted,R_TD_landed,R_TD_attempted,B_TD_landed,B_TD_attempted,R_total_no._fights,B_total_no._fights,R_SIG_STR._attempted_total,R_SIG_STR._landed_total,R_TOTAL_STR._attempted_total,R_TOTAL_STR._landed_total,R_TD_attempted_total,R_TD_landed_total,B_SIG_STR._attempted_total,B_SIG_STR._landed_total,B_TOTAL_STR._attempted_total,B_TOTAL_STR._landed_total,B_TD_attempted_total,B_TD_landed_total,fight_time,R_fight_time_total,B_fight_time_total,R_SIG_STR._faced_total,B_SIG_STR._faced_total,R_SIG_STR._defended_total,B_SIG_STR._defended_total,R_TOTAL_STR._faced_total,B_TOTAL_STR._faced_total,R_TOTAL_STR._defended_total,B_TOTAL_STR._defended_total,R_TD_faced_total,B_TD_faced_total,R_TD_defended_total,B_TD_defended_total,R_KD_total,B_KD_total,R_finish,B_finish,R_finish_total,B_finish_total,R_SIG_STR._probability,R_SIG_STR._defence_probability,R_SIG_STR._rate,R_TOTAL_STR._probability,R_TOTAL_STR._defence_probability,R_TOTAL_STR._rate,R_TD_probability,R_TD_defence_probability,R_TD_rate,R_KD_rate,R_win_probability,R_finish_rate,B_SIG_STR._probability,B_SIG_STR._defence_probability,B_SIG_STR._rate,B_TOTAL_STR._probability,B_TOTAL_STR._defence_probability,B_TOTAL_STR._rate,B_TD_probability,B_TD_defence_probability,B_TD_rate,B_KD_rate,B_win_probability,B_finish_rate,R_PageRank,B_PageRank,R_Katz,B_Katz,R_Betweeness,B_Betweeness,R_Closeness,B_Closeness,R_HarmonicScore,B_HarmonicScore
0.0,Decision - Split,3,300,2010-03-21,Eliot Marshall,Vladimir Matyushenko,0.0,0.0,3.0,1.0,3.0,4.0,29.0,39.0,0.0,1.0,0.0,1.0,0,0,19,97,28,91,19,97,35,98,0,0,2,3,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,
1.0,Decision - Unanimous,5,300,2010-03-27,Georges St-Pierre,Dan Hardy,0.0,0.0,6.0,4.0,13.0,4.0,28.0,27.0,8.0,0.0,5.0,1.0,0,0,59,79,4,27,174,201,42,72,11,11,0,0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,0.8666666666666667,,,,,,,,,,,,1.0,,0.04545454545454544,0.04545454545454544,0.2129594025076446,0.2129594025076446,0.0,0.0,0.023809523809523808,0.023809523809523808,0.5,0.5
0.0,KO/TKO,1,228,2010-03-27,Frank Mir,Shane Carwin,0.0,0.0,1.0,3.0,11.0,3.0,30.0,35.0,3.0,0.0,2.0,3.0,0,1,3,10,49,63,3,10,74,89,0,0,0,2,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,,,,,,,,,,,0.7333333333333333,,,,,,,,,,,,1.0,,0.04545454545454544,0.04545454545454544,0.2129594025076446,0.2129594025076446,0.0,0.0,0.023809523809523808,0.023809523809523808,0.5,0.5
1.0,Submission,2,260,2010-03-27,Kurt Pellegrino,Fabricio Camoes,0.0,1.0,3.0,0.0,6.0,0.0,30.0,31.0,0.0,0.0,1.0,0.0,0,0,16,29,8,11,71,91,19,22,1,1,1,5,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,0.0,,0.04545454545454544,0.04545454545454544,0.2129594025076446,0.2129594025076446,0.0,0.0,0.023809523809523808,0.023809523809523808,0.5,0.5
0.0,Decision - Unanimous,3,300,2010-03-27,Ben Saunders,Jon Fitch,0.0,0.0,1.0,3.0,4.0,11.0,26.0,32.0,0.0,1.0,2.0,1.0,0,0,17,30,72,99,31,44,212,247,0,0,2,7,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,0.8,,,,,,,,,,,,0.9166666666666666,,0.04545454545454544,0.04545454545454544,0.2129594025076446,0.2129594025076446,0.0,0.0,0.023809523809523808,0.023809523809523808,0.5,0.5
1.0,Decision - Unanimous,3,300,2010-03-27,Jim Miller,Mark Bocek,0.0,0.0,3.0,3.0,5.0,4.0,26.0,28.0,0.0,0.0,1.0,0.0,0,0,23,67,17,45,42,89,52,81,1,2,4,8,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,0.8333333333333334,,,,,,,,,,,,0.6666666666666666,,0.04545454545454544,0.04545454545454544,0.2129594025076446,0.2129594025076446,0.0,0.0,0.023809523809523808,0.023809523809523808,0.5,0.5
1.0,KO/TKO,1,167,2010-03-27,Nate Diaz,Rory Markham,1.0,1.0,0.0,0.0,6.0,1.0,24.0,28.0,1.0,0.0,0.0,1.0,1,0,34,60,3,22,54,84,3,22,0,0,0,0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,0.5,,0.04545454545454544,0.04545454545454544,0.2129594025076446,0.2129594025076446,0.0,0.0,0.023809523809523808,0.023809523809523808,0.5,0.5
1.0,Submission,2,210,2010-03-27,Ricardo Almeida,Matt Brown,0.0,0.0,2.0,3.0,4.0,4.0,33.0,29.0,0.0,0.0,0.0,3.0,0,0,15,27,6,10,24,36,23,28,5,11,0,0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,,,,,,,,,,,0.5714285714285714,,,,,,,,,,,,0.8,,0.04545454545454544,0.04545454545454544,0.2129594025076446,0.2129594025076446,0.0,0.0,0.023809523809523808,0.023809523809523808,0.5,0.5
1.0,Submission,1,45,2010-03-27,Rousimar Palhares,Tomasz Drwal,0.0,0.0,2.0,3.0,3.0,3.0,30.0,28.0,0.0,0.0,0.0,2.0,0,0,0,1,0,2,0,1,0,2,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,,,,,,,,,,,0.75,,,,,,,,,,,,0.75,,0.04545454545454544,0.04545454545454544,0.2129594025076446,0.2129594025076446,0.0,0.0,0.023809523809523808,0.023809523809523808,0.5,0.5
0.0,Decision - Unanimous,3,300,2010-03-27,Rodney Wallace,Jared Hamman,1.0,1.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,0,1,34,66,60,124,47,84,176,250,11,13,2,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.04545454545454544,0.04545454545454544,0.2129594025076446,0.2129594025076446,0.0,0.0,0.023809523809523808,0.023809523809523808,0.5,0.5
