Winner,win_by,last_round,last_round_time,date_time,R_fighter,B_fighter,R_current_lose_streak,B_current_lose_streak,R_current_win_streak,B_current_win_streak,R_wins,B_wins,R_age,B_age,R_total_title_bouts,B_total_title_bouts,R_win_by_KO/TKO,B_win_by_KO/TKO,R_KD,B_KD,R_SIG_STR._landed,R_SIG_STR._attempted,B_SIG_STR._landed,B_SIG_STR._attempted,R_TOTAL_STR._landed,R_TOTAL_STR._attempted,B_TOTAL_STR._landed,B_TOTAL_STR._attempted,R_TD_landed,R_TD_attempted,B_TD_landed,B_TD_attempted,R_total_no._fights,B_total_no._fights,R_SIG_STR._attempted_total,R_SIG_STR._landed_total,R_TOTAL_STR._attempted_total,R_TOTAL_STR._landed_total,R_TD_attempted_total,R_TD_landed_total,B_SIG_STR._attempted_total,B_SIG_STR._landed_total,B_TOTAL_STR._attempted_total,B_TOTAL_STR._landed_total,B_TD_attempted_total,B_TD_landed_total,fight_time,R_fight_time_total,B_fight_time_total,R_SIG_STR._faced_total,B_SIG_STR._faced_total,R_SIG_STR._defended_total,B_SIG_STR._defended_total,R_TOTAL_STR._faced_total,B_TOTAL_STR._faced_total,R_TOTAL_STR._defended_total,B_TOTAL_STR._defended_total,R_TD_faced_total,B_TD_faced_total,R_TD_defended_total,B_TD_defended_total,R_KD_total,B_KD_total,R_finish,B_finish,R_finish_total,B_finish_total,R_SIG_STR._probability,R_SIG_STR._defence_probability,R_SIG_STR._rate,R_TOTAL_STR._probability,R_TOTAL_STR._defence_probability,R_TOTAL_STR._rate,R_TD_probability,R_TD_defence_probability,R_TD_rate,R_KD_rate,R_win_probability,R_finish_rate,B_SIG_STR._probability,B_SIG_STR._defence_probability,B_SIG_STR._rate,B_TOTAL_STR._probability,B_TOTAL_STR._defence_probability,B_TOTAL_STR._rate,B_TD_probability,B_TD_defence_probability,B_TD_rate,B_KD_rate,B_win_probability,B_finish_rate
0.0,Decision - Split,3,300,2010-03-21,Eliot Marshall,Vladimir Matyushenko,0.0,0.0,3.0,1.0,3.0,4.0,29.0,39.0,0.0,1.0,0.0,1.0,0,0,19,97,28,91,19,97,35,98,0,0,2,3,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,0.6666666666666666,
1.0,Decision - Unanimous,5,300,2010-03-27,Georges St-Pierre,Dan Hardy,0.0,0.0,6.0,4.0,13.0,4.0,28.0,27.0,8.0,0.0,5.0,1.0,0,0,59,79,4,27,174,201,42,72,11,11,0,0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,0.8666666666666667,,,,,,,,,,,,1.0,
0.0,KO/TKO,1,228,2010-03-27,Frank Mir,Shane Carwin,0.0,0.0,1.0,3.0,11.0,3.0,30.0,35.0,3.0,0.0,2.0,3.0,0,1,3,10,49,63,3,10,74,89,0,0,0,2,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,,,,,,,,,,,0.7333333333333333,,,,,,,,,,,,1.0,
1.0,Submission,2,260,2010-03-27,Kurt Pellegrino,Fabricio Camoes,0.0,1.0,3.0,0.0,6.0,0.0,30.0,31.0,0.0,0.0,1.0,0.0,0,0,16,29,8,11,71,91,19,22,1,1,1,5,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,0.0,
0.0,Decision - Unanimous,3,300,2010-03-27,Ben Saunders,Jon Fitch,0.0,0.0,1.0,3.0,4.0,11.0,26.0,32.0,0.0,1.0,2.0,1.0,0,0,17,30,72,99,31,44,212,247,0,0,2,7,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,0.8,,,,,,,,,,,,0.9166666666666666,
1.0,Decision - Unanimous,3,300,2010-03-27,Jim Miller,Mark Bocek,0.0,0.0,3.0,3.0,5.0,4.0,26.0,28.0,0.0,0.0,1.0,0.0,0,0,23,67,17,45,42,89,52,81,1,2,4,8,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,0.8333333333333334,,,,,,,,,,,,0.6666666666666666,
1.0,KO/TKO,1,167,2010-03-27,Nate Diaz,Rory Markham,1.0,1.0,0.0,0.0,6.0,1.0,24.0,28.0,1.0,0.0,0.0,1.0,1,0,34,60,3,22,54,84,3,22,0,0,0,0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,0.5,
1.0,Submission,2,210,2010-03-27,Ricardo Almeida,Matt Brown,0.0,0.0,2.0,3.0,4.0,4.0,33.0,29.0,0.0,0.0,0.0,3.0,0,0,15,27,6,10,24,36,23,28,5,11,0,0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,,,,,,,,,,,0.5714285714285714,,,,,,,,,,,,0.8,
1.0,Submission,1,45,2010-03-27,Rousimar Palhares,Tomasz Drwal,0.0,0.0,2.0,3.0,3.0,3.0,30.0,28.0,0.0,0.0,0.0,2.0,0,0,0,1,0,2,0,1,0,2,0,0,0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,,,,,,,,,,,0.75,,,,,,,,,,,,0.75,
0.0,Decision - Unanimous,3,300,2010-03-27,Rodney Wallace,Jared Hamman,1.0,1.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0,0,1,34,66,60,124,47,84,176,250,11,13,2,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,
1.0,Submission,3,172,2010-03-31,Kenny Florian,Takanori Gomi,0.0,0.0,1.0,0.0,10.0,0.0,33.0,31.0,3.0,0.0,2.0,0.0,0,0,51,186,20,116,74,210,20,116,1,2,0,1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,,,,,,,,,,,0.7692307692307693,,,,,,,,,,,,,
1.0,KO/TKO,1,39,2010-03-31,Roy Nelson,Stefan Struve,0.0,0.0,1.0,3.0,1.0,3.0,33.0,22.0,1.0,0.0,1.0,0.0,1,0,9,15,2,5,9,15,2,5,0,0,0,0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,0.75,
0.0,KO/TKO,2,29,2010-03-31,Nate Quarry,Jorge Rivera,0.0,0.0,2.0,2.0,7.0,6.0,38.0,38.0,1.0,0.0,5.0,3.0,0,3,19,71,29,65,19,72,58,104,0,1,0,0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,,,,,,,,,,,0.7777777777777778,,,,,,,,,,,,0.5454545454545454,
1.0,Decision - Unanimous,3,300,2010-03-31,Ross Pearson,Dennis Siver,0.0,0.0,2.0,3.0,2.0,4.0,25.0,31.0,1.0,0.0,0.0,3.0,0,0,54,159,39,225,64,170,39,228,1,1,2,5,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,0.5714285714285714,
1.0,Decision - Unanimous,3,300,2010-03-31,Andre Winner,Rafaello Oliveira,0.0,0.0,1.0,1.0,1.0,1.0,28.0,28.0,1.0,0.0,1.0,0.0,0,0,61,198,52,146,74,211,64,159,0,0,0,6,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,0.5,,,,,,,,,,,,0.5,
1.0,Decision - Split,3,300,2010-03-31,Jacob Volkmann,Ronys Torres,2.0,1.0,0.0,0.0,0.0,0.0,29.0,34.0,0.0,0.0,0.0,0.0,0,0,24,57,20,50,79,125,32,63,5,6,3,4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,
0.0,Decision - Unanimous,3,300,2010-03-31,Rob Emerson,Nik Lentz,0.0,1.0,1.0,0.0,3.0,1.0,28.0,25.0,0.0,0.0,1.0,0.0,1,0,24,74,46,96,45,96,79,133,0,1,4,14,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,0.5,,,,,,,,,,,,0.5,
0.0,KO/TKO,1,253,2010-03-31,Caol Uno,Gleison Tibau,4.0,0.0,0.0,1.0,3.0,6.0,34.0,26.0,2.0,0.0,1.0,0.0,0,1,6,28,22,59,10,34,26,65,0,0,1,1,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,,,,,,,,,,,0.3333333333333333,,,,,,,,,,,,0.6,
1.0,KO/TKO,1,289,2010-03-31,Gerald Harris,Mario Miranda,0.0,0.0,1.0,0.0,1.0,0.0,30.0,30.0,0.0,0.0,1.0,0.0,2,1,17,37,16,40,17,37,33,63,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
1.0,Decision - Unanimous,3,300,2010-03-31,Charlie Brenneman,Jason High,0.0,0.0,0.0,0.0,0.0,0.0,29.0,28.0,0.0,0.0,0.0,0.0,0,0,33,53,12,31,95,116,25,45,6,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Decision - Unanimous,5,300,2010-04-10,Anderson Silva,Demian Maia,0.0,0.0,10.0,1.0,10.0,6.0,34.0,32.0,6.0,0.0,7.0,0.0,1,0,61,111,10,52,62,112,11,53,0,0,0,13,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,0.8571428571428571,
0.0,Decision - Unanimous,5,300,2010-04-10,BJ Penn,Frankie Edgar,0.0,0.0,2.0,3.0,11.0,6.0,31.0,28.0,9.0,0.0,5.0,1.0,0,0,71,262,61,232,72,263,63,234,0,0,1,13,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,0.6875,,,,,,,,,,,,0.8571428571428571,
1.0,KO/TKO,3,280,2010-04-10,Matt Hughes,Renzo Gracie,0.0,0.0,1.0,0.0,16.0,0.0,36.0,43.0,12.0,0.0,5.0,0.0,2,0,70,123,34,109,71,124,34,109,0,1,0,1,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,,,,,,,,,,,0.7619047619047619,,,,,,,,,,,,,
0.0,Submission,2,270,2010-04-10,Terry Etim,Rafael Dos Anjos,0.0,0.0,4.0,2.0,5.0,2.0,24.0,25.0,0.0,0.0,1.0,0.0,0,0,7,20,25,45,11,25,45,69,0,0,2,3,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,,,,,,,,,,,0.7142857142857143,,,,,,,,,,,,0.5,
0.0,KO/TKO,2,170,2010-04-10,Kendall Grove,Mark Munoz,0.0,0.0,1.0,2.0,6.0,2.0,27.0,32.0,1.0,0.0,2.0,1.0,1,0,9,26,25,60,36,55,38,75,0,0,1,8,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,,,,,,,,,,,0.6666666666666666,,,,,,,,,,,,0.6666666666666666,
0.0,Submission,1,295,2010-04-10,Alexander Gustafsson,Phil Davis,0.0,0.0,1.0,1.0,1.0,1.0,23.0,25.0,0.0,0.0,1.0,0.0,0,0,0,5,14,18,0,5,28,34,0,2,1,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,
0.0,Decision - Split,3,300,2010-04-10,Nick Osipczak,Rick Story,0.0,0.0,2.0,2.0,2.0,2.0,25.0,25.0,0.0,0.0,1.0,0.0,0,0,28,41,31,72,49,63,83,130,2,4,3,10,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,0.6666666666666666,
1.0,KO/TKO,3,128,2010-04-10,DaMarques Johnson,Brad Blackburn,0.0,1.0,1.0,0.0,1.0,3.0,27.0,32.0,1.0,0.0,0.0,1.0,1,0,34,108,59,132,42,117,83,165,0,0,4,5,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,,,,,,,,,,,0.5,,,,,,,,,,,,0.75,
1.0,Submission,2,221,2010-04-10,Paul Kelly,Matt Veach,1.0,1.0,0.0,0.0,3.0,1.0,25.0,28.0,0.0,0.0,0.0,1.0,0,0,47,73,4,9,110,145,9,14,0,0,1,1,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,,,,,,,,,,,0.6,,,,,,,,,,,,0.5,
1.0,Decision - Unanimous,3,300,2010-04-10,Jon Madsen,Mostapha Al-Turk,0.0,2.0,1.0,0.0,1.0,0.0,30.0,36.0,0.0,0.0,0.0,0.0,0,0,32,97,20,127,32,97,20,127,1,1,0,0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,0.0,
0.0,KO/TKO,1,215,2010-05-08,Lyoto Machida,Mauricio Rua,0.0,1.0,8.0,0.0,8.0,2.0,31.0,28.0,2.0,1.0,2.0,2.0,0,1,9,11,17,28,10,12,24,35,2,2,0,1,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,0.5,
1.0,Decision - Unanimous,3,300,2010-05-08,Josh Koscheck,Paul Daley,0.0,0.0,2.0,2.0,12.0,2.0,32.0,27.0,0.0,0.0,5.0,2.0,0,0,19,29,11,28,83,93,14,31,4,6,0,0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,,,,,,,,0.75,,,,,,,,,,,,1.0,
